id_competition,id_fight,id_person_blue,id_person_white,id_winner,is_finished,round,duration,ippon,waza,yuko,penalty,ippon_b,waza_b,yuko_b,penalty_b,ippon_w,waza_w,yuko_w,penalty_w,type,round_code,round_name,date_start_ts,first_hajime_at_ts,gs,bye,updated_at,hsk_w,hsk_b,tagged,kodokan_tagged,published,sc_countdown_offset,fight_no,contest_code_long,mat,id_competition_teams,id_fight_team,competition_name,competition_date,external_id,city,comp_year,age,fight_duration,weight,id_weight,date_raw,person_white,id_ijf_white,family_name_white,given_name_white,timestamp_version_white,person_blue,id_ijf_blue,family_name_blue,given_name_blue,timestamp_version_blue,country_white,country_short_white,id_country_white,country_blue,country_short_blue,id_country_blue,picture_folder_1,picture_filename_1,picture_folder_2,picture_filename_2,media,rank_name,personal_picture_white,personal_picture_blue
963,4973,87,73,73,1,4,00:02:58,1,0,0,2,0,0,0,1,1,0,0,1,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_hun2011_m_p100_0001,0,,,World Cup Budapest 2011,2011-02-12,wcup_hun2011,Budapest,2011,Seniors,240,+100,7,2011/02/12,KAMIKAWA Daiki,38815f56,KAMIKAWA,Daiki,v1505373303,JONSSON Thormodur,9bbb22c5,JONSSON,Thormodur,v1610958474,Japan,JPN,13,Iceland,ISL,40,/2017/09/,73_1505373303.jpg,/2021/01/,87_1610958474.jpg,,World Cup,https://www.judobase.org/files/persons//2017/09//73_1505373303.jpg,https://www.judobase.org/files/persons//2021/01//87_1610958474.jpg
961,5585,4605,6,6,1,3,00:03:37,1,0,1,2,0,0,0,2,1,0,1,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_geo2011_m_p100_0001,0,,,World Cup Tbilisi 2011,2011-01-29,wcup_geo2011,Tbilisi,2011,Seniors,240,+100,7,2011/01/29,PADAR Martin,b1e1be4c,PADAR,Martin,v1429099265,YUSSUPOV Yerbulat,f925cc9f,YUSSUPOV,Yerbulat,v1429099265,Estonia,EST,39,Kazakhstan,KAZ,14,/imported/,8_0921500001208.jpg,,,,World Cup,https://www.judobase.org/files/persons//imported//8_0921500001208.jpg,https://www.judobase.org/files/persons//
936,6149,2135,385,385,1,3,00:00:00,1,0,1,3,0,0,1,1,1,0,0,2,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_por2010_m_p100_0001,0,,,World Cup Lisbon 2010,2010-06-12,wcup_por2010,Lisbon,2010,Seniors,240,+100,7,2010/06/12,RINER Teddy,f12c598e,RINER,Teddy,v1683113930,MSKHALADZE Aleksandre,3eef6e8c,MSKHALADZE,Aleksandre,v1558602826,France,FRA,4,Georgia,GEO,6,/2023/05/,385_1683113930.jpg,/2019/05/,2135_1558602826.jpg,,World Cup,https://www.judobase.org/files/persons//2023/05//385_1683113930.jpg,https://www.judobase.org/files/persons//2019/05//2135_1558602826.jpg
995,11053,1025,769,769,1,3,00:00:17,1,0,0,0,0,0,0,0,1,0,0,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_geo2010_m_p100_0001,0,,,World Cup Tbilisi 2010,2010-01-30,wcup_geo2010,Tbilisi,2010,Seniors,240,+100,7,2010/01/30,KHANJALIASHVILI Zviad,fdb6ee9c,KHANJALIASHVILI,Zviad,v1429099265,BABAYEV Farid,81bb834f,BABAYEV,Farid,v1429099265,Georgia,GEO,6,Azerbaijan,AZE,8,/imported/,1025_0922600021500.jpg,/imported/,1408_0926100000302.jpg,,World Cup,https://www.judobase.org/files/persons//imported//1025_0922600021500.jpg,https://www.judobase.org/files/persons//imported//1408_0926100000302.jpg
997,13231,4738,892,892,1,4,00:02:14,1,0,0,1,0,0,0,1,1,0,0,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_aut2010_m_p100_0001,0,,,World Cup Vienna 2010,2010-02-13,wcup_aut2010,Vienna,2010,Seniors,240,+100,7,2010/02/13,EL SHEHABY Islam,8162193b,EL SHEHABY,Islam,v1616594059,STANCIU Cristian,d4562c77,STANCIU,Cristian,v1429099265,Egypt,EGY,53,Romania,ROU,266,/2021/03/,892_1615395596.jpg,,,,World Cup,https://www.judobase.org/files/persons//2021/03//892_1615395596.jpg,https://www.judobase.org/files/persons//
1002,18796,1975,676,1975,1,4,00:03:09,1,0,2,4,1,0,1,2,0,0,1,2,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_esp2010_m_p100_0001,0,,,World Cup Madrid 2010,2010-06-05,wcup_esp2010,Madrid,2010,Seniors,240,+100,7,2010/06/05,BONDARENKO Stanislav,93c773e5,BONDARENKO,Stanislav,v1605800575,EITEL Grzegorz,5dbd67ef,EITEL,Grzegorz,v1429099265,Ukraine,UKR,9,Poland,POL,25,/2018/12/,676_1546083419.jpg,/imported/,2693_0933100004706.jpg,,World Cup,https://www.judobase.org/files/persons//2018/12//676_1546083419.jpg,https://www.judobase.org/files/persons//imported//2693_0933100004706.jpg
1026,20784,5952,2629,2629,1,3,00:00:35,1,0,1,0,0,0,0,0,1,0,1,0,0,,best 16,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_gbr2009_m_p100_0001,0,,,World Cup Birmingham 2009,2009-09-19,wcup_gbr2009,Birmingham,2009,Seniors,240,+100,7,2009/09/19,VERBIJ Luuk,df26aadd,VERBIJ,Luuk,v1429099265,BEACH Wesley,5cecd9ea,BEACH,Wesley,v1429099265,Netherlands,NED,28,United States of America,USA,57,/imported/,3610_1012400000208.jpg,,,,World Cup,https://www.judobase.org/files/persons//imported//3610_1012400000208.jpg,https://www.judobase.org/files/persons//
1035,30943,4933,963,963,1,4,00:01:13,0,2,0,0,0,0,0,0,0,2,0,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_hun2009_m_p100_0001,0,,,World Cup Budapest 2009,2009-02-14,wcup_hun2009,Budapest,2009,Seniors,240,+100,7,2009/02/14,BRAYSON Oscar,4d6c429b,BRAYSON,Oscar,v1452453062,CANSECO FERNANDEZ Victor,d5579544,CANSECO FERNANDEZ,Victor,v1429099265,Cuba,CUB,48,Spain,ESP,20,/imported/,1312_0923400001304.jpg,,,,World Cup,https://www.judobase.org/files/persons//imported//1312_0923400001304.jpg,https://www.judobase.org/files/persons//
967,38563,2133,385,385,1,4,00:03:45,1,1,0,1,0,0,0,1,1,1,0,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,ec2011_m_p100_0001,0,,,European Championships Istanbul 2011,2011-04-21,ec2011,Istanbul,2011,Seniors,240,+100,7,2011/04/21,RINER Teddy,f12c598e,RINER,Teddy,v1683113930,METREVELI Nodar,da679ed3,METREVELI,Nodar,v1579257811,France,FRA,4,Georgia,GEO,6,/2023/05/,385_1683113930.jpg,/2020/01/,2133_1579257811.jpg,,European Championships,https://www.judobase.org/files/persons//2023/05//385_1683113930.jpg,https://www.judobase.org/files/persons//2020/01//2133_1579257811.jpg
973,41139,6469,245,245,1,4,00:03:00,1,0,0,0,0,0,0,0,1,0,0,0,0,,best 32,0,0,0,0,2019-01-18 09:57:48,0,0,0,0,0,0,1,wcup_rou2011_m_p100_0001,0,,,World Cup Bucharest 2011,2011-06-04,wcup_rou2011,Bucharest,2011,Seniors,240,+100,7,2011/06/04,BOR Barna,c5f7c968,BOR,Barna,v1566553795,ABEUOV Arman,5568969c,ABEUOV,Arman,v1691682647,Hungary,HUN,27,Kazakhstan,KAZ,14,/2019/08/,245_1566553795.jpg,/2023/08/,6469_1691681574.jpg,,World Cup,https://www.judobase.org/files/persons//2019/08//245_1566553795.jpg,https://www.judobase.org/files/persons//2023/08//6469_1691681574.jpg
