,id_person_blue,id_person_white,id_winner,competition_date
1276,61167,43348,43348,2022-04-23
1277,49546,36757,49546,2022-04-23
1279,44974,30181,30181,2022-04-23
1282,30181,37917,37917,2022-04-23
1281,49546,43348,49546,2022-04-23
1287,37917,49546,49546,2022-04-23
1286,43348,44974,44974,2022-04-23
1285,30181,31629,31629,2022-04-23
1280,36757,31629,31629,2022-04-23
1283,31629,61167,31629,2022-04-23
1284,44974,19063,44974,2022-04-23
1245,14431,1094,14431,2022-04-29
1246,16577,65194,16577,2022-04-29
1247,22867,38064,22867,2022-04-29
1248,3528,21796,3528,2022-04-29
1258,14320,9718,9718,2022-04-29
1250,29719,14320,14320,2022-04-29
1251,14395,20999,20999,2022-04-29
1252,22683,20,20,2022-04-29
1253,19799,42827,19799,2022-04-29
1254,14431,9396,14431,2022-04-29
1255,22867,16577,16577,2022-04-29
1256,3528,801,801,2022-04-29
1257,38194,1220,38194,2022-04-29
1249,18716,38194,38194,2022-04-29
1259,20999,19292,19292,2022-04-29
1261,19799,9286,9286,2022-04-29
1272,9286,14431,9286,2022-04-29
1271,38194,20,38194,2022-04-29
1260,20,38158,20,2022-04-29
1269,9286,19292,9286,2022-04-29
1268,38194,14431,14431,2022-04-29
1270,19292,16577,16577,2022-04-29
1266,801,16577,16577,2022-04-29
1265,9286,20,9286,2022-04-29
1264,19292,9718,19292,2022-04-29
1263,38194,801,38194,2022-04-29
1262,16577,14431,14431,2022-04-29
1267,20,9718,20,2022-04-29
1235,18494,52466,18494,2022-05-07
1230,46694,29719,29719,2022-05-07
1231,7924,18494,18494,2022-05-07
1232,29719,9730,29719,2022-05-07
1233,55984,59246,55984,2022-05-07
1234,45266,37105,45266,2022-05-07
1236,9730,46694,46694,2022-05-07
1243,55984,7924,55984,2022-05-07
1238,55984,29719,29719,2022-05-07
1239,18494,45266,45266,2022-05-07
1240,59246,46694,46694,2022-05-07
1241,7924,37105,7924,2022-05-07
1242,18494,46694,46694,2022-05-07
1237,52466,7924,7924,2022-05-07
1244,45266,29719,29719,2022-05-07
1219,69174,45005,45005,2022-05-26
1220,16230,50071,50071,2022-05-26
1221,16240,12202,12202,2022-05-26
1222,13150,26036,26036,2022-05-26
1224,13150,16240,16240,2022-05-26
1223,16230,69174,16230,2022-05-26
1226,26036,12202,26036,2022-05-26
1227,12202,16230,12202,2022-05-26
1228,50071,16240,16240,2022-05-26
1229,26036,45005,45005,2022-05-26
1225,50071,45005,45005,2022-05-26
1207,30236,29719,29719,2022-06-03
1199,25917,30236,30236,2022-06-03
1200,36121,38158,38158,2022-06-03
1201,50573,14830,14830,2022-06-03
1202,14950,49726,49726,2022-06-03
1203,61033,26363,26363,2022-06-03
1204,24215,20477,20477,2022-06-03
1205,20673,18665,20673,2022-06-03
1206,25359,10361,25359,2022-06-03
1208,14830,38158,38158,2022-06-03
1211,29719,25359,25359,2022-06-03
1210,20673,20477,20477,2022-06-03
1212,26363,14830,14830,2022-06-03
1213,29719,20673,20673,2022-06-03
1214,49726,38158,49726,2022-06-03
1215,25359,20477,20477,2022-06-03
1216,25359,14830,25359,2022-06-03
1217,38158,20673,20673,2022-06-03
1218,20477,49726,20477,2022-06-03
1209,26363,49726,49726,2022-06-03
1181,13369,22972,22972,2022-06-11
1180,49222,9212,49222,2022-06-11
1179,8973,61033,61033,2022-06-11
1178,21357,25679,25679,2022-06-11
1177,67168,59246,67168,2022-06-11
1176,56196,22682,22682,2022-06-11
1172,13369,48363,13369,2022-06-11
1174,30734,31629,31629,2022-06-11
1173,37917,37998,37917,2022-06-11
1171,22972,37529,22972,2022-06-11
1170,49222,65272,49222,2022-06-11
1182,37917,3780,3780,2022-06-11
1175,9730,63310,63310,2022-06-11
1183,31629,37690,37690,2022-06-11
1198,22682,3780,22682,2022-06-11
1185,67168,22682,22682,2022-06-11
1197,22972,63310,22972,2022-06-11
1184,63310,20237,63310,2022-06-11
1195,64658,22682,22682,2022-06-11
1194,3780,22972,3780,2022-06-11
1193,25679,63310,63310,2022-06-11
1192,37690,49222,37690,2022-06-11
1196,64658,37690,37690,2022-06-11
1190,22682,63310,22682,2022-06-11
1189,37690,3780,3780,2022-06-11
1188,22972,49222,22972,2022-06-11
1187,61033,64658,64658,2022-06-11
1186,25679,36818,25679,2022-06-11
1191,64658,25679,64658,2022-06-11
1157,2539,9718,9718,2022-06-24
1150,2539,65165,2539,2022-06-24
1151,30734,9396,9396,2022-06-24
1152,30499,45440,45440,2022-06-24
1153,20988,9286,9286,2022-06-24
1149,69349,20988,20988,2022-06-24
1154,14950,19292,14950,2022-06-24
1155,9728,23336,23336,2022-06-24
1156,25546,43175,43175,2022-06-24
1158,20999,28254,28254,2022-06-24
1165,9286,9396,9396,2022-06-24
1160,14950,9286,9286,2022-06-24
1169,43175,9396,43175,2022-06-24
1168,9286,28254,9286,2022-06-24
1167,9718,14950,9718,2022-06-24
1166,9718,43175,43175,2022-06-24
1159,45440,9396,9396,2022-06-24
1163,14950,45440,14950,2022-06-24
1162,28254,9718,9718,2022-06-24
1161,43175,23336,43175,2022-06-24
1164,28254,23336,28254,2022-06-24
1135,26312,18665,26312,2022-06-29
1136,21357,37690,37690,2022-06-29
1137,26312,1220,1220,2022-06-29
1138,18716,26036,26036,2022-06-29
1139,37690,45005,37690,2022-06-29
1141,45005,21357,45005,2022-06-29
1140,29952,16577,16577,2022-06-29
1144,18716,26312,18716,2022-06-29
1145,29952,45005,29952,2022-06-29
1146,37690,18716,37690,2022-06-29
1147,1220,29952,1220,2022-06-29
1148,16577,26036,16577,2022-06-29
1142,26036,1220,26036,2022-06-29
1143,16577,37690,16577,2022-06-29
1118,39036,17217,17217,2022-07-02
1125,2038,42827,2038,2022-07-02
1124,17217,65194,65194,2022-07-02
1123,55984,7924,7924,2022-07-02
1122,13613,36818,13613,2022-07-02
1121,4595,25679,4595,2022-07-02
1120,2038,30571,2038,2022-07-02
1119,42860,42827,42827,2022-07-02
1127,7924,13613,13613,2022-07-02
1126,4595,20237,4595,2022-07-02
1134,13613,65194,65194,2022-07-02
1133,2038,20237,2038,2022-07-02
1132,4595,42827,42827,2022-07-02
1131,13613,4595,13613,2022-07-02
1130,2038,65194,65194,2022-07-02
1129,7924,20237,20237,2022-07-02
1128,42827,17217,42827,2022-07-02
1097,9730,28254,28254,2022-07-08
1098,14830,41398,14830,2022-07-08
1096,66781,10231,10231,2022-07-08
1095,45266,20477,20477,2022-07-08
1094,42006,16577,16577,2022-07-08
1093,14320,20,20,2022-07-08
1092,20673,31518,20673,2022-07-08
1091,29719,9520,29719,2022-07-08
1086,22867,1094,22867,2022-07-08
1089,22683,11829,11829,2022-07-08
1088,24215,3528,3528,2022-07-08
1087,14395,801,801,2022-07-08
1099,21796,9718,21796,2022-07-08
1085,9212,38194,38194,2022-07-08
1084,21796,14431,21796,2022-07-08
1083,20999,9718,9718,2022-07-08
1090,45440,45536,45440,2022-07-08
1100,22867,38194,38194,2022-07-08
1101,3528,801,801,2022-07-08
1102,45440,11829,11829,2022-07-08
1117,28254,801,28254,2022-07-08
1116,21796,29719,29719,2022-07-08
1115,16577,38194,16577,2022-07-08
1114,28254,16577,28254,2022-07-08
1112,20477,29719,29719,2022-07-08
1111,11829,38194,38194,2022-07-08
1110,28254,20477,28254,2022-07-08
1113,801,21796,801,2022-07-08
1108,11829,801,801,2022-07-08
1107,38194,21796,21796,2022-07-08
1106,14830,28254,28254,2022-07-08
1105,10231,20477,20477,2022-07-08
1104,16577,20,16577,2022-07-08
1103,20673,29719,29719,2022-07-08
1109,16577,29719,16577,2022-07-08
1082,41582,14836,14836,2022-07-09
1081,41582,46201,41582,2022-07-09
1080,14836,46201,46201,2022-07-09
1073,30734,38194,38194,2022-07-15
1069,38194,14431,14431,2022-07-15
1070,30734,38158,38158,2022-07-15
1071,16577,29719,16577,2022-07-15
1072,19292,9286,9286,2022-07-15
1074,19292,29719,29719,2022-07-15
1066,22867,16577,16577,2022-07-15
1076,9286,16577,9286,2022-07-15
1077,16577,38194,38194,2022-07-15
1078,14431,29719,14431,2022-07-15
1079,9286,38158,9286,2022-07-15
1068,22132,19292,19292,2022-07-15
1075,38158,14431,38158,2022-07-15
1067,14395,9286,9286,2022-07-15
1050,11254,1094,1094,2022-07-15
1065,29719,36058,29719,2022-07-15
1040,20988,14431,14431,2022-07-15
1041,3528,3623,3623,2022-07-15
1042,9728,14836,9728,2022-07-15
1043,36121,14320,14320,2022-07-15
1044,26363,22132,22132,2022-07-15
1045,14431,9396,14431,2022-07-15
1046,45440,18665,45440,2022-07-15
